S.No,Channel 1 - Source Symbol: inBuffer1,Channel 2 - Source Symbol: inBuffer2,Channel 3 - Source Symbol: outBuffer1,Channel 4 - Source Symbol: outBuffer2,
437,-6,-7,-6,-1,
438,1,4,1,-4,
439,-1,-6,-1,4,
440,-4,1,-4,-7,
441,4,-1,4,4,
442,-7,-4,-7,-4,
443,4,4,4,-1,
444,-4,-7,-4,2,
445,-1,3,-1,-6,
446,2,-4,2,5,
447,-7,-2,-7,-6,
448,5,3,5,2,
449,-7,-7,-7,-1,
450,2,5,2,-4,
451,-1,-6,-1,4,
452,-4,1,-4,-7,
453,4,-1,4,4,
454,-7,-4,-7,-4,
455,4,4,4,-1,
456,-4,-7,-4,2,
457,-1,4,-1,-6,
458,2,-4,2,5,
459,-7,-2,-7,-6,
460,5,2,5,2,
461,-6,-7,-6,-1,
462,1,5,1,-4,
463,-1,-6,-1,4,
464,-4,1,-4,-7,
465,4,-1,4,4,
466,-7,-4,-7,-4,
467,4,4,4,-1,
468,-4,-7,-4,2,
469,-1,4,-1,-6,
470,2,-4,2,5,
471,-6,-1,-6,-7,
472,5,2,5,2,
473,-6,-7,-6,-1,
474,2,5,2,-4,
475,-1,-6,-1,4,
476,-4,1,-4,-7,
477,4,-1,4,4,
478,-7,-4,-7,-4,
479,4,4,4,-1,
480,-4,-7,-4,1,
481,-1,3,-1,-6,
482,2,-4,2,5,
483,-6,-1,-6,-7,
484,4,2,4,3,
485,-6,-7,-6,-1,
486,2,5,2,-4,
487,-1,-6,-1,4,
488,-4,2,-4,-7,
489,4,-1,4,4,
490,-7,-4,-7,-4,
491,4,4,4,-1,
492,-4,-7,-4,1,
493,-1,4,-1,-6,
494,2,-4,2,5,
495,-6,-1,-6,-6,
496,5,2,5,2,
497,-7,-6,-7,-1,
498,2,4,2,-4,
499,-1,-6,-1,4,
500,-4,2,-4,-7,
501,4,-1,4,4,
502,-7,-4,-7,-4,
503,4,4,4,0,
504,-4,-7,-4,1,
505,-1,4,-1,-6,
506,2,-4,2,5,
507,-6,-1,-6,-6,
508,5,2,5,2,
509,-6,-7,-6,-1,
510,2,5,2,-4,
511,-1,-6,-1,4,
512,-4,1,-4,-7,
513,4,-1,4,4,
514,-7,-4,-7,-4,
515,4,4,4,0,
516,-4,-7,-4,1,
517,-1,4,-1,-6,
518,1,-4,1,5,
519,-6,-1,-6,-6,
520,5,2,5,3,
521,-6,-6,-6,-1,
522,2,5,2,-4,
523,-1,-6,-1,4,
524,-4,2,-4,-7,
525,4,-1,4,4,
526,-7,-4,-7,-4,
527,4,4,4,0,
528,-4,-7,-4,1,
529,0,4,0,-6,
530,1,-4,1,5,
531,-7,-1,-7,-6,
532,5,2,5,3,
533,-7,-6,-7,-2,
534,2,5,2,-4,
535,-1,-7,-1,4,
536,-4,2,-4,-7,
537,4,-1,4,4,
538,-7,-4,-7,-5,
539,4,4,4,0,
540,-4,-7,-4,1,
541,-1,4,-1,-6,
542,2,-4,2,5,
543,-6,-1,-6,-7,
544,5,2,5,3,
545,-6,-6,-6,-2,
546,3,5,3,-4,
547,-1,-5,-1,4,
548,-4,2,-4,-7,
549,4,-1,4,4,
550,-7,-4,-7,-4,
551,4,4,4,0,
552,-4,-7,-4,1,
553,0,4,0,-6,
554,1,-4,1,5,
555,-6,-1,-6,-7,
556,5,2,5,3,
